CustomerID,PurchaseCount,FrequencyCategory
12346,1,Low Frequency
12347,7,High Frequency
12348,4,Low Frequency
12349,1,Low Frequency
12350,1,Low Frequency
12352,8,High Frequency
12353,1,Low Frequency
12354,1,Low Frequency
12355,1,Low Frequency
12356,3,Low Frequency
12357,1,Low Frequency
12358,2,Low Frequency
12359,4,Low Frequency
12360,3,Low Frequency
12361,1,Low Frequency
12362,10,High Frequency
12363,2,Low Frequency
12364,4,Low Frequency
12365,2,Low Frequency
12367,1,Low Frequency
12370,4,Low Frequency
12371,2,Low Frequency
12372,3,Low Frequency
12373,1,Low Frequency
12374,1,Low Frequency
12375,2,Low Frequency
12377,2,Low Frequency
12378,1,Low Frequency
12379,2,Low Frequency
12380,4,Low Frequency
12381,5,Low Frequency
12383,5,Low Frequency
12384,2,Low Frequency
12386,2,Low Frequency
12388,6,High Frequency
12390,1,Low Frequency
12391,1,Low Frequency
12393,4,Low Frequency
12394,2,Low Frequency
12395,12,High Frequency
12397,2,Low Frequency
12398,1,Low Frequency
12399,4,Low Frequency
12401,1,Low Frequency
12402,1,Low Frequency
12403,1,Low Frequency
12405,1,Low Frequency
12406,2,Low Frequency
12407,5,Low Frequency
12408,5,Low Frequency
12409,3,Low Frequency
12410,2,Low Frequency
12412,3,Low Frequency
12413,3,Low Frequency
12414,3,Low Frequency
12415,21,High Frequency
12417,9,High Frequency
12418,1,Low Frequency
12420,1,Low Frequency
12421,4,Low Frequency
12422,3,Low Frequency
12423,8,High Frequency
12424,2,Low Frequency
12425,1,Low Frequency
12426,1,Low Frequency
12427,3,Low Frequency
12428,9,High Frequency
12429,4,Low Frequency
12430,1,Low Frequency
12431,15,High Frequency
12432,5,Low Frequency
12433,7,High Frequency
12434,2,Low Frequency
12435,2,Low Frequency
12436,1,Low Frequency
12437,18,High Frequency
12438,2,Low Frequency
12441,1,Low Frequency
12442,1,Low Frequency
12444,5,Low Frequency
12445,1,Low Frequency
12446,1,Low Frequency
12447,1,Low Frequency
12448,1,Low Frequency
12449,4,Low Frequency
12450,2,Low Frequency
12451,5,Low Frequency
12452,2,Low Frequency
12453,1,Low Frequency
12454,1,Low Frequency
12455,6,High Frequency
12456,3,Low Frequency
12457,7,High Frequency
12458,2,Low Frequency
12461,2,Low Frequency
